,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
18,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
19,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
20,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
21,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
22,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
23,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
24,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
25,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
26,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
27,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
28,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
29,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
30,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
31,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
32,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
33,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
34,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
35,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
36,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
37,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
38,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
39,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
40,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
41,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
42,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
43,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
44,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
45,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
46,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
47,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
48,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
49,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
50,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
51,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
52,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
53,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
54,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
55,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
56,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
57,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
58,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
59,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
60,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
61,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
62,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
63,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
64,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
65,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
66,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
67,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
68,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
69,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
70,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
71,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
72,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
73,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
74,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
75,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
76,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
77,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
78,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
79,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
80,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
81,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
82,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
83,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
84,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
85,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
86,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
87,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
88,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
89,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
90,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
91,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
92,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
93,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
94,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
95,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
96,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
97,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
98,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
99,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
100,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
101,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
102,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
103,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
104,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
105,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
106,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
107,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
108,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
109,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
110,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
111,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
112,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
113,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
114,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
115,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
116,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
117,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
118,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
119,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
120,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
121,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
122,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
123,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
124,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
125,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
126,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
127,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
128,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
129,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
130,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
131,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
132,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
133,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
134,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
135,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
136,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
137,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
138,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
139,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
140,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
141,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
142,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
143,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
144,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
145,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
146,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
147,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
148,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
149,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
150,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
151,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
152,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
153,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
154,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
155,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
156,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
157,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
158,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
159,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
160,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
161,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
162,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
163,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
164,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
165,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
166,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
167,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
168,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
169,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
170,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
171,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
172,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
173,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
174,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
175,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
176,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
177,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
178,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
